Feature Category,Feature Name,Status,Description,Notes
Core Functionality,Research Endpoint (/api/research),implemented,Basic research endpoint for individuals and organizations,Works with Ollama (free) and LinkedIn scraper
Core Functionality,Individual Research,implemented,Research on individuals with professional background extraction,Includes LinkedIn profile scraping
Core Functionality,Organization Research,implemented,Research on organizations with company intelligence,Basic company information extraction
Core Functionality,Name Checking (/api/check-name),implemented,Check how many people exist with a given name,Returns list of people with companies
Core Functionality,Document Download (/api/download),implemented,Download generated documents,Supports Word PDF PowerPoint
Core Functionality,Health Check (/api/health),implemented,API health check endpoint,Shows service status
Data Sources,LinkedIn Scraper,implemented,Direct LinkedIn profile and company scraping,Requires LinkedIn credentials
Data Sources,Ollama AI Integration,implemented,Free local AI for web intelligence,No API costs
Data Sources,Web Search Service,implemented,Google and DuckDuckGo search integration,Used for finding information
Data Sources,Web Scraper Service,implemented,Playwright-based web scraping,For extracting content from URLs
Document Generation,Word Document (.docx),implemented,Generate Word documents from intelligence,Full formatting support
Document Generation,PDF Document (.pdf),implemented,Generate PDF documents,Requires LibreOffice or pandoc
Document Generation,PowerPoint (.pptx),implemented,Generate PowerPoint presentations,Basic slide generation
Intelligence Extraction,Professional Background,implemented,Extract professional background for individuals,From LinkedIn and web sources
Intelligence Extraction,Education Information,implemented,Extract education details,Universities degrees achievements
Intelligence Extraction,Company Information,implemented,Extract company details,Current company and recent developments
Intelligence Extraction,Public Presence,implemented,Extract public presence information,LinkedIn articles publications
Intelligence Extraction,Recent Activity,implemented,Extract recent activity,Latest posts projects statements
Intelligence Extraction,Company Background,implemented,Basic company background extraction,For organizations
Intelligence Extraction,Leadership Intelligence,implemented,Extract leadership information,Key executives and their details
Intelligence Extraction,Financial Information,implemented,Basic financial information extraction,Revenue trends funding
Intelligence Extraction,News Intelligence,implemented,Extract news and media information,Positive negative neutral news
Frontend,Research Form,implemented,User interface for research requests,React-based form
Frontend,Results Display,implemented,Display research results,Shows intelligence and download options
Frontend,Source Management,implemented,Add/remove additional sources,Supports multiple source types
Frontend,Name Check UI,implemented,UI for checking names before research,Shows people count and list
Frontend,Company Name Field,implemented,Company name field for disambiguation,Required for individuals without LinkedIn URL
Comprehensive Capsule,Comprehensive Capsule Endpoint,Partial,Comprehensive organization intelligence capsule,Requires Perplexity API key (not free)
Comprehensive Capsule,Company Intelligence Module,implemented,Company Intelligence Discovery System,Part of comprehensive capsule
